Id,NoF,Area,Street,Utilities,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,Foundation,GarageType,PoolQC,SalePrice
1,60,8450,Pave,AllPub,CollgCr,1Fam,2Story,7,5,2003,PConc,Attchd,NA,208500
2,20,9600,Pave,AllPub,Veenker,1Fam,1Story,6,8,1976,CBlock,Attchd,NA,181500
3,60,11250,Pave,AllPub,CollgCr,1Fam,2Story,7,5,2001,PConc,Attchd,NA,223500
4,70,9550,Pave,AllPub,Crawfor,1Fam,2Story,7,5,1915,BrkTil,Detchd,NA,140000
5,60,14260,Pave,AllPub,NoRidge,1Fam,2Story,8,5,2000,PConc,Attchd,NA,250000
6,50,14115,Pave,AllPub,Mitchel,1Fam,1.5Fin,5,5,1993,Wood,Attchd,NA,143000
7,20,10084,Pave,AllPub,Somerst,1Fam,1Story,8,5,2004,PConc,Attchd,NA,307000
8,60,10382,Pave,AllPub,NWAmes,1Fam,2Story,7,6,1973,CBlock,Attchd,NA,200000
9,50,6120,Pave,AllPub,OldTown,1Fam,1.5Fin,7,5,1931,BrkTil,Detchd,NA,129900
10,190,7420,Pave,AllPub,BrkSide,2fmCon,1.5Unf,5,6,1939,BrkTil,Attchd,NA,118000
11,20,11200,Pave,AllPub,Sawyer,1Fam,1Story,5,5,1965,CBlock,Detchd,NA,129500
12,60,11924,Pave,AllPub,NridgHt,1Fam,2Story,9,5,2005,PConc,BuiltIn,NA,345000
13,20,12968,Pave,AllPub,Sawyer,1Fam,1Story,5,6,1962,CBlock,Detchd,NA,144000
14,20,10652,Pave,AllPub,CollgCr,1Fam,1Story,7,5,2006,PConc,Attchd,NA,279500
15,20,10920,Pave,AllPub,NAmes,1Fam,1Story,6,5,1960,CBlock,Attchd,NA,157000
16,45,6120,Pave,AllPub,BrkSide,1Fam,1.5Unf,7,8,1929,BrkTil,Detchd,NA,132000
17,20,11241,Pave,AllPub,NAmes,1Fam,1Story,6,7,1970,CBlock,Attchd,NA,149000
18,90,10791,Pave,AllPub,Sawyer,Duplex,1Story,4,5,1967,Slab,CarPort,NA,90000
19,20,13695,Pave,AllPub,SawyerW,1Fam,1Story,5,5,2004,PConc,Detchd,NA,159000
20,20,7560,Pave,AllPub,NAmes,1Fam,1Story,5,6,1958,CBlock,Attchd,NA,139000
21,60,14215,Pave,AllPub,NridgHt,1Fam,2Story,8,5,2005,PConc,BuiltIn,NA,325300
22,45,7449,Pave,AllPub,IDOTRR,1Fam,1.5Unf,7,7,1930,PConc,Attchd,NA,139400
23,20,9742,Pave,AllPub,CollgCr,1Fam,1Story,8,5,2002,PConc,Attchd,NA,230000
24,120,4224,Pave,AllPub,MeadowV,TwnhsE,1Story,5,7,1976,PConc,Attchd,NA,129900
25,20,8246,Pave,AllPub,Sawyer,1Fam,1Story,5,8,1968,CBlock,Attchd,NA,154000
26,20,14230,Pave,AllPub,NridgHt,1Fam,1Story,8,5,2007,PConc,Attchd,NA,256300
27,20,7200,Pave,AllPub,NAmes,1Fam,1Story,5,7,1951,CBlock,Detchd,NA,134800
28,20,11478,Pave,AllPub,NridgHt,1Fam,1Story,8,5,2007,PConc,Attchd,NA,306000
29,20,16321,Pave,AllPub,NAmes,1Fam,1Story,5,6,1957,CBlock,Attchd,NA,207500
30,30,6324,Pave,AllPub,BrkSide,1Fam,1Story,4,6,1927,BrkTil,Detchd,NA,68500
31,70,8500,Pave,AllPub,IDOTRR,1Fam,2Story,4,4,1920,BrkTil,Detchd,NA,40000
32,20,8544,Pave,AllPub,Sawyer,1Fam,1Story,5,6,1966,CBlock,Attchd,NA,149350
33,20,11049,Pave,AllPub,CollgCr,1Fam,1Story,8,5,2007,PConc,Attchd,NA,179900
34,20,10552,Pave,AllPub,NAmes,1Fam,1Story,5,5,1959,CBlock,Attchd,NA,165500
35,120,7313,Pave,AllPub,NridgHt,TwnhsE,1Story,9,5,2005,PConc,Attchd,NA,277500
36,60,13418,Pave,AllPub,NridgHt,1Fam,2Story,8,5,2004,PConc,BuiltIn,NA,309000
37,20,10859,Pave,AllPub,CollgCr,1Fam,1Story,5,5,1994,PConc,Attchd,NA,145000
38,20,8532,Pave,AllPub,NAmes,1Fam,1Story,5,6,1954,CBlock,Attchd,NA,153000
39,20,7922,Pave,AllPub,NAmes,1Fam,1Story,5,7,1953,CBlock,Detchd,NA,109000
40,90,6040,Pave,AllPub,Edwards,Duplex,1Story,4,5,1955,PConc,NA,NA,82000
41,20,8658,Pave,AllPub,NAmes,1Fam,1Story,6,5,1965,CBlock,Attchd,NA,160000
42,20,16905,Pave,AllPub,Timber,1Fam,1Story,5,6,1959,CBlock,Attchd,NA,170000
43,85,9180,Pave,AllPub,SawyerW,1Fam,SFoyer,5,7,1983,CBlock,Attchd,NA,144000
44,20,9200,Pave,AllPub,CollgCr,1Fam,1Story,5,6,1975,CBlock,Detchd,NA,130250
45,20,7945,Pave,AllPub,NAmes,1Fam,1Story,5,6,1959,CBlock,Attchd,NA,141000
46,120,7658,Pave,AllPub,NridgHt,TwnhsE,1Story,9,5,2005,PConc,Attchd,NA,319900
47,50,12822,Pave,AllPub,Mitchel,1Fam,1.5Fin,7,5,2003,PConc,Attchd,NA,239686
48,20,11096,Pave,AllPub,Somerst,1Fam,1Story,8,5,2006,PConc,Attchd,NA,249700
49,190,4456,Pave,AllPub,OldTown,2fmCon,2Story,4,5,1920,BrkTil,NA,NA,113000
50,20,7742,Pave,AllPub,Sawyer,1Fam,1Story,5,7,1966,CBlock,Attchd,NA,127000
51,60,13869,Pave,AllPub,Gilbert,1Fam,2Story,6,6,1997,PConc,Attchd,NA,177000
52,50,6240,Pave,AllPub,BrkSide,1Fam,1.5Fin,6,6,1934,PConc,Detchd,NA,114500
53,90,8472,Grvl,AllPub,IDOTRR,Duplex,1Story,5,5,1963,CBlock,CarPort,NA,110000
54,20,50271,Pave,AllPub,Veenker,1Fam,1Story,9,5,1981,CBlock,Attchd,NA,385000
55,80,7134,Pave,AllPub,NAmes,1Fam,SLvl,5,5,1955,CBlock,Detchd,NA,130000
56,20,10175,Pave,AllPub,NAmes,1Fam,1Story,6,5,1964,CBlock,Attchd,NA,180500
57,160,2645,Pave,AllPub,Somerst,Twnhs,2Story,8,5,1999,PConc,Attchd,NA,172500
